Source.Name,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
TCS_Data.csv,23-10-2018,EQ,1888,1898,1837,1903,1847.75,1843.65,1865.59,3674.8,1711.15,2752811,5135609621,150962,TCS
TCS_Data.csv,22-10-2018,EQ,1914,1916,1886.95,1913.2,1900.25,1903,1903.03,3674.8,1711.15,1778496,3384527484,104583,TCS
TCS_Data.csv,19-10-2018,EQ,1929,1929,1870.05,1929.4,1920,1913.2,1896.96,3674.8,1711.15,3428776,6504263186,152721,TCS
TCS_Data.csv,17-10-2018,EQ,1970,1989,1920,1962.3,1930,1929.4,1945.4,3674.8,1711.15,2779207,5406659606,149723,TCS
TCS_Data.csv,16-10-2018,EQ,1958,1971.9,1935,1949.5,1964.05,1962.3,1952.66,3674.8,1711.15,2815425,5497567674,116402,TCS
TCS_Data.csv,15-10-2018,EQ,1940,1955.55,1920,1918.3,1954.6,1949.5,1939.74,3674.8,1711.15,2638151,5117323443,102337,TCS
TCS_Data.csv,12-10-2018,EQ,1978,1978,1903,1979.95,1920,1918.3,1927.35,3674.8,1711.15,9373289,18065633067,337356,TCS
TCS_Data.csv,11-10-2018,EQ,1985,2013,1941,2043.6,1995,1979.95,1984.8,3674.8,1711.15,4700256,9329052362,217064,TCS
TCS_Data.csv,10-10-2018,EQ,2100,2105.95,2029,2091.8,2044,2043.6,2063.1,3674.8,1711.15,2749573,5672634239,185433,TCS
TCS_Data.csv,09-10-2018,EQ,2080.35,2107.65,2053.2,2077.55,2093.2,2091.8,2086.07,3674.8,1711.15,1867130,3894967408,95316,TCS
TCS_Data.csv,08-10-2018,EQ,2102.65,2122.2,2048.15,2102.65,2077.4,2077.55,2074.99,3674.8,1711.15,2010154,4171051462,133651,TCS
TCS_Data.csv,05-10-2018,EQ,2050,2120,2020.9,2064.8,2100,2102.65,2079.05,3674.8,1711.15,3417624,7105425700,141442,TCS
TCS_Data.csv,04-10-2018,EQ,2156.6,2156.65,2056.35,2162.85,2063,2064.8,2084.35,3674.8,1711.15,4762419,9926539005,190870,TCS
TCS_Data.csv,03-10-2018,EQ,2250.3,2255,2155.6,2255.55,2156.65,2162.85,2195.08,3674.8,1711.15,3902322,8565892401,205361,TCS
TCS_Data.csv,01-10-2018,EQ,2190.9,2275.95,2190.35,2183.7,2250.3,2255.55,2242.36,3674.8,1711.15,3772208,8458652685,201352,TCS
TCS_Data.csv,28-09-2018,EQ,2178,2190,2158.85,2188.85,2186,2183.7,2177.54,3674.8,1711.15,2904371,6324389223,150520,TCS
TCS_Data.csv,27-09-2018,EQ,2141.9,2209.7,2135.8,2142.15,2185,2188.85,2175.57,3674.8,1711.15,3311802,7205048027,110444,TCS
TCS_Data.csv,26-09-2018,EQ,2187,2199,2135.1,2183.2,2147.15,2142.15,2161.8,3674.8,1711.15,1970951,4260808099,95921,TCS
TCS_Data.csv,25-09-2018,EQ,2204.9,2211.9,2153.8,2198.45,2183.1,2183.2,2186.15,3674.8,1711.15,2868778,6271565161,141519,TCS
TCS_Data.csv,24-09-2018,EQ,2115,2210.5,2098.15,2103.15,2208,2198.45,2168.27,3674.8,1711.15,3032226,6574669913,134605,TCS
TCS_Data.csv,21-09-2018,EQ,2077,2121,2050.15,2077.9,2111.9,2103.15,2083.75,3674.8,1711.15,4508530,9394632968,163985,TCS
TCS_Data.csv,19-09-2018,EQ,2071.9,2089,2066.85,2070.75,2076,2077.9,2081.53,3674.8,1711.15,1301268,2708622536,122321,TCS
TCS_Data.csv,18-09-2018,EQ,2073,2078.8,2057.6,2074.15,2074,2070.75,2069.75,3674.8,1711.15,1456507,3014609448,77936,TCS
TCS_Data.csv,17-09-2018,EQ,2070,2077.8,2054.55,2065.4,2072,2074.15,2067.17,3674.8,1711.15,1033857,2137157571,66371,TCS
TCS_Data.csv,14-09-2018,EQ,2044,2071.55,2018.15,2043.95,2066.95,2065.4,2042.02,3674.8,1711.15,3642038,7437129776,160266,TCS
TCS_Data.csv,12-09-2018,EQ,2052.35,2068.9,2040,2046.25,2045,2043.95,2048.93,3674.8,1711.15,2307661,4728228780,135528,TCS
TCS_Data.csv,11-09-2018,EQ,2089,2089,2042.2,2080.75,2045.15,2046.25,2055.93,3674.8,1711.15,3679745,7565314868,153230,TCS
TCS_Data.csv,10-09-2018,EQ,2084.4,2093.4,2074.25,2079.85,2084,2080.75,2083.98,3674.8,1711.15,1530539,3189620195,96119,TCS
TCS_Data.csv,07-09-2018,EQ,2079.3,2084,2065.4,2075.3,2078.75,2079.85,2076.27,3674.8,1711.15,1312182,2724446612,91094,TCS
TCS_Data.csv,06-09-2018,EQ,2075,2081.5,2060.3,2079.25,2074.5,2075.3,2070.41,3674.8,1711.15,2238097,4633767812,123504,TCS
TCS_Data.csv,05-09-2018,EQ,2100,2107.25,2075.05,2098.9,2077,2079.25,2086.52,3674.8,1711.15,1681106,3507659104,125377,TCS
TCS_Data.csv,04-09-2018,EQ,2059.8,2104.75,2056.95,2052.9,2100,2098.9,2093.77,3674.8,1711.15,4420803,9256152899,272369,TCS
TCS_Data.csv,03-09-2018,EQ,2084.8,2090,2048.4,2078.4,2050.3,2052.9,2072.5,3674.8,1711.15,1439711,2983803309,66713,TCS
TCS_Data.csv,31-08-2018,EQ,2082.3,2092,2074,2082.4,2078,2078.4,2082.1,3674.8,1711.15,2504554,5214722721,137612,TCS
TCS_Data.csv,30-08-2018,EQ,2068,2085,2065.5,2072,2081.25,2082.4,2078.06,3674.8,1711.15,2408020,5003999131,125517,TCS
TCS_Data.csv,29-08-2018,EQ,2072.5,2076.6,2045.6,2069.2,2073.25,2072,2065.1,3674.8,1711.15,1525867,3151066991,88327,TCS
TCS_Data.csv,28-08-2018,EQ,2055,2072,2052,2050.9,2069.95,2069.2,2065.5,3674.8,1711.15,1987983,4106175144,108533,TCS
TCS_Data.csv,27-08-2018,EQ,2043,2059,2035,2043,2050.05,2050.9,2051.79,3674.8,1711.15,1532702,3144788539,95164,TCS
TCS_Data.csv,24-08-2018,EQ,2035.1,2046,2031,2035.1,2041.6,2043,2041.86,3674.8,1711.15,1570533,3206801588,89779,TCS
TCS_Data.csv,23-08-2018,EQ,2022.8,2038,2020.3,2017.65,2033.9,2035.1,2030.81,3674.8,1711.15,3046791,6187460521,147069,TCS
TCS_Data.csv,21-08-2018,EQ,2010.15,2024,2004,2009.95,2014,2017.65,2015.38,3674.8,1711.15,1376866,2774903728,67624,TCS
TCS_Data.csv,20-08-2018,EQ,2024,2024,2003.7,2012.75,2014.15,2009.95,2011.43,3674.8,1711.15,1587032,3192197147,125610,TCS
TCS_Data.csv,17-08-2018,EQ,2013.85,2021.9,2004,2008.5,2010,2012.75,2012.85,3674.8,1711.15,1213731,2443058585,114738,TCS
TCS_Data.csv,16-08-2018,EQ,2000.3,2020.05,1995,2003.55,2009.1,2008.5,2008.49,3674.8,1711.15,2152065,4322407892,153660,TCS
TCS_Data.csv,14-08-2018,EQ,1992,2024.6,1982.4,2000.15,2000,2003.55,2010.34,3674.8,1711.15,3311765,6657770585,120349,TCS
TCS_Data.csv,13-08-2018,EQ,1997.8,2004.25,1990,1993.1,1999.5,2000.15,1998.04,3674.8,1711.15,3559575,7112184425,176860,TCS
TCS_Data.csv,10-08-2018,EQ,1980.95,1996.5,1972.05,1974.35,1992,1993.1,1985.67,3674.8,1711.15,2784105,5528317088,105306,TCS
TCS_Data.csv,09-08-2018,EQ,1980,1980.8,1966,1974,1978,1974.35,1974.51,3674.8,1711.15,2060297,4068073027,88956,TCS
TCS_Data.csv,08-08-2018,EQ,1972,1978.3,1962,1967.35,1975,1974,1969.57,3674.8,1711.15,1315062,2590100268,78555,TCS
TCS_Data.csv,07-08-2018,EQ,1978.2,1979.15,1960.5,1975.55,1969,1967.35,1967.34,3674.8,1711.15,1353560,2662908262,95485,TCS
TCS_Data.csv,06-08-2018,EQ,1997,1998.95,1972.25,1979.45,1975.05,1975.55,1981.25,3674.8,1711.15,1532249,3035769015,62917,TCS
TCS_Data.csv,03-08-2018,EQ,1956.5,1982.05,1956.5,1948.4,1978,1979.45,1973.58,3674.8,1711.15,1505131,2970498995,91920,TCS
TCS_Data.csv,02-08-2018,EQ,1980,1985,1945,1976.5,1947.5,1948.4,1960.41,3674.8,1711.15,1509287,2958815209,85680,TCS
TCS_Data.csv,01-08-2018,EQ,1949.95,1981.55,1949.8,1940.2,1973,1976.5,1972.85,3674.8,1711.15,2425180,4784507539,94019,TCS
TCS_Data.csv,31-07-2018,EQ,1942,1947,1928,1944.6,1947,1940.2,1934.85,3674.8,1711.15,2204803,4265970111,125163,TCS
TCS_Data.csv,30-07-2018,EQ,1943,1954.7,1931.55,1943.75,1944.3,1944.6,1942.3,3674.8,1711.15,1579251,3067386014,74802,TCS
TCS_Data.csv,27-07-2018,EQ,1960.85,1964.65,1940.3,1964.7,1943.75,1943.75,1948.53,3674.8,1711.15,2033977,3963271947,103516,TCS
TCS_Data.csv,26-07-2018,EQ,1974.95,1985,1955.1,1981.5,1956,1964.7,1968.67,3674.8,1711.15,3503036,6896326863,110618,TCS
TCS_Data.csv,25-07-2018,EQ,2001.9,2002,1968.4,1999,1977.5,1981.5,1979.25,3674.8,1711.15,1535492,3039127153,92993,TCS
